timestamp,product_id,defectives,sample_size,proportion,lcl,center_line,ucl,rule_1_beyond_3sigma,rule_2_two_of_three_beyond_2sigma,rule_3_four_of_five_beyond_1sigma,rule_4_eight_same_side,any_signal
2024-01-01 00:00:00,PRD-A,23.0,1103.0,0.02085222121486854,0.02756976383656277,0.04661195978611832,0.06565415573567386,True,False,False,False,True
2024-01-01 08:00:00,PRD-A,37.0,1374.0,0.026928675400291122,0.02955068727813096,0.04661195978611832,0.06367323229410568,True,False,False,False,True
2024-01-01 16:00:00,PRD-A,59.0,1335.0,0.044194756554307116,0.029303271640198955,0.04661195978611832,0.06392064793203768,False,True,False,False,True
2024-01-02 00:00:00,PRD-A,31.0,1288.0,0.02406832298136646,0.02899029828302028,0.04661195978611832,0.06423362128921636,True,True,False,False,True
2024-01-02 08:00:00,PRD-A,21.0,1292.0,0.016253869969040248,0.02901759754263951,0.04661195978611832,0.06420632202959713,True,True,True,False,True
2024-01-02 16:00:00,PRD-A,34.0,1283.0,0.026500389711613406,0.028955994840970098,0.04661195978611832,0.06426792473126654,True,True,True,False,True
2024-01-09 00:00:00,PRD-A,49.0,1193.0,0.04107292539815591,0.028302119154030435,0.04661195978611832,0.0649218004182062,False,True,False,False,True
2024-01-09 08:00:00,PRD-A,50.0,1218.0,0.041050903119868636,0.02849100228054388,0.04661195978611832,0.06473291729169275,False,False,False,True,True
2024-01-09 16:00:00,PRD-A,78.0,1239.0,0.06295399515738499,0.028645226000113714,0.04661195978611832,0.06457869357212292,False,False,False,False,False
2024-01-10 00:00:00,PRD-A,59.0,1242.0,0.04750402576489533,0.028666938073043637,0.04661195978611832,0.064556981499193,False,False,False,False,False
2024-01-10 08:00:00,PRD-A,46.0,1060.0,0.04339622641509434,0.027187370115137322,0.04661195978611832,0.06603654945709932,False,False,False,False,False
2024-01-10 16:00:00,PRD-A,62.0,1330.0,0.04661654135338346,0.02927076703289004,0.04661195978611832,0.0639531525393466,False,False,False,False,False
