timestamp,product_id,defects,units,defects_per_unit,lcl,center_line,ucl,rule_1_beyond_3sigma,rule_2_two_of_three_beyond_2sigma,rule_3_four_of_five_beyond_1sigma,rule_4_eight_same_side,any_signal
2024-01-01 00:00:00,PRD-A,33.0,1103.0,0.029918404351767906,0.03533907678856903,0.056882997094004746,0.07842691739944047,True,False,False,False,True
2024-01-01 08:00:00,PRD-A,45.0,1374.0,0.03275109170305677,0.037580249858595684,0.056882997094004746,0.0761857443294138,True,False,False,False,True
2024-01-01 16:00:00,PRD-A,64.0,1335.0,0.04794007490636704,0.03730032926540118,0.056882997094004746,0.07646566492260831,False,True,False,False,True
2024-01-02 00:00:00,PRD-A,36.0,1288.0,0.027950310559006212,0.036946238115271014,0.056882997094004746,0.07681975607273847,True,True,False,False,True
2024-01-02 08:00:00,PRD-A,25.0,1292.0,0.01934984520123839,0.036977123895209005,0.056882997094004746,0.07678887029280049,True,True,True,False,True
2024-01-02 16:00:00,PRD-A,43.0,1283.0,0.03351519875292284,0.03690742795788743,0.056882997094004746,0.07685856623012206,True,True,True,False,True
2024-01-09 00:00:00,PRD-A,61.0,1193.0,0.05113160100586756,0.03616764743433816,0.056882997094004746,0.07759834675367133,False,True,True,False,True
2024-01-09 08:00:00,PRD-A,66.0,1218.0,0.054187192118226604,0.03638134563571299,0.056882997094004746,0.0773846485522965,False,False,False,True,True
2024-01-09 16:00:00,PRD-A,98.0,1239.0,0.07909604519774012,0.03655583094887867,0.056882997094004746,0.07721016323913082,True,False,False,False,True
2024-01-10 00:00:00,PRD-A,69.0,1242.0,0.05555555555555555,0.036580395509085234,0.056882997094004746,0.07718559867892426,False,False,False,False,False
2024-01-10 08:00:00,PRD-A,52.0,1060.0,0.04905660377358491,0.0349064449701846,0.056882997094004746,0.0788595492178249,False,False,False,False,False
2024-01-10 16:00:00,PRD-A,71.0,1330.0,0.05338345864661654,0.037263554269950136,0.056882997094004746,0.07650243991805936,False,False,False,False,False
2024-01-17 00:00:00,PRD-A,36.0,1267.0,0.028413575374901343,0.036781695360778625,0.056882997094004746,0.07698429882723087,True,False,False,False,True
2024-01-17 08:00:00,PRD-A,48.0,1190.0,0.040336134453781515,0.036141552085348895,0.056882997094004746,0.07762444210266059,False,True,False,False,True
2024-01-17 16:00:00,PRD-A,61.0,1258.0,0.04848966613672496,0.036709919010358874,0.056882997094004746,0.07705607517765062,False,True,True,False,True
2024-01-18 00:00:00,PRD-A,46.0,1268.0,0.03627760252365931,0.03678962330497704,0.056882997094004746,0.07697637088303246,True,True,True,False,True
2024-01-18 08:00:00,PRD-A,52.0,1294.0,0.0401854714064915,0.036992513053441915,0.056882997094004746,0.07677348113456758,False,True,True,True,True
2024-01-18 16:00:00,PRD-A,63.0,1195.0,0.052719665271966525,0.03618498971419651,0.056882997094004746,0.07758100447381298,False,True,True,True,True
2024-01-25 00:00:00,PRD-A,45.0,1183.0,0.03803888419273035,0.03608027737280356,0.056882997094004746,0.07768571681520593,False,True,True,True,True
2024-01-25 08:00:00,PRD-A,46.0,1290.0,0.03565891472868217,0.03696169896209331,0.056882997094004746,0.07680429522591618,True,True,True,True,True
2024-01-25 16:00:00,PRD-A,73.0,1235.0,0.05910931174089069,0.03652293907276191,0.056882997094004746,0.07724305511524758,False,True,False,False,True
2024-01-26 00:00:00,PRD-A,40.0,1274.0,0.03139717425431711,0.03683699478256212,0.056882997094004746,0.07692899940544737,True,True,False,False,True
2024-01-26 08:00:00,PRD-A,54.0,1276.0,0.04231974921630094,0.03685271097651982,0.056882997094004746,0.07691328321148967,False,True,True,False,True
2024-01-26 16:00:00,PRD-A,89.0,1207.0,0.07373653686826843,0.036288136572370074,0.056882997094004746,0.07747785761563941,False,True,False,False,True
2024-02-02 00:00:00,PRD-A,32.0,1276.0,0.025078369905956112,0.03685271097651982,0.056882997094004746,0.07691328321148967,True,True,False,False,True
2024-02-02 08:00:00,PRD-A,36.0,1278.0,0.028169014084507043,0.036868390263554686,0.056882997094004746,0.0768976039244548,True,True,True,False,True
2024-02-02 16:00:00,PRD-A,50.0,1220.0,0.040983606557377046,0.03639815716085125,0.056882997094004746,0.07736783702715824,False,True,True,False,True
2024-02-03 00:00:00,PRD-A,32.0,1301.0,0.024596464258262875,0.03704609536678652,0.056882997094004746,0.07671989882122297,True,True,True,False,True
2024-02-03 08:00:00,PRD-A,49.0,1308.0,0.03746177370030581,0.037099246969333095,0.056882997094004746,0.07666674721867639,False,True,True,False,True
2024-02-03 16:00:00,PRD-A,69.0,1252.0,0.05511182108626198,0.0366616387384727,0.056882997094004746,0.07710435544953678,False,True,True,False,True
2024-02-10 00:00:00,PRD-A,46.0,1209.0,0.0380479735318445,0.03630517824721366,0.056882997094004746,0.07746081594079583,False,True,True,False,True
2024-02-10 08:00:00,PRD-A,56.0,1286.0,0.04354587869362364,0.03693074121516296,0.056882997094004746,0.07683525297284653,False,True,True,True,True
2024-02-10 16:00:00,PRD-A,72.0,1233.0,0.058394160583941604,0.03650643314542893,0.056882997094004746,0.07725956104258055,False,True,False,False,True
2024-02-11 00:00:00,PRD-A,56.0,1254.0,0.044657097288676235,0.03667777065835638,0.056882997094004746,0.07708822352965311,False,False,False,False,False
2024-02-11 08:00:00,PRD-A,61.0,1271.0,0.04799370574350905,0.036813350973701295,0.056882997094004746,0.0769526432143082,False,False,True,False,True
2024-02-11 16:00:00,PRD-A,92.0,1204.0,0.07641196013289037,0.03626249448666985,0.056882997094004746,0.07750349970133964,False,False,False,False,False
2024-02-18 00:00:00,PRD-A,57.0,1316.0,0.04331306990881459,0.03715947161477513,0.056882997094004746,0.07660652257323436,False,False,False,False,False
2024-02-18 08:00:00,PRD-A,27.0,1263.0,0.021377672209026127,0.03674988948371419,0.056882997094004746,0.0770161047042953,True,True,True,False,True
2024-02-18 16:00:00,PRD-A,60.0,1311.0,0.04576659038901602,0.037121895803460855,0.056882997094004746,0.07664409838454864,False,True,True,False,True
2024-02-19 00:00:00,PRD-A,29.0,1290.0,0.02248062015503876,0.03696169896209331,0.056882997094004746,0.07680429522591618,True,True,True,False,True
2024-02-19 08:00:00,PRD-A,33.0,1273.0,0.025923016496465043,0.0368291228002004,0.056882997094004746,0.0769368713878091,True,True,True,False,True
2024-02-19 16:00:00,PRD-A,65.0,1244.0,0.0522508038585209,0.0365967224932981,0.056882997094004746,0.07716927169471138,False,True,True,False,True
2024-02-26 00:00:00,PRD-A,77.0,1162.0,0.06626506024096386,0.035893142691953414,0.056882997094004746,0.07787285149605608,False,False,False,False,False
2024-02-26 08:00:00,PRD-A,95.0,1163.0,0.08168529664660361,0.035902168645672,0.056882997094004746,0.07786382554233749,True,False,False,False,True
2024-02-26 16:00:00,PRD-A,123.0,1197.0,0.10275689223057644,0.03620228851151851,0.056882997094004746,0.07756370567649098,True,True,False,False,True
2024-02-27 00:00:00,PRD-A,106.0,1149.0,0.09225413402959094,0.03577473511027128,0.056882997094004746,0.07799125907773821,True,True,True,False,True
2024-02-27 08:00:00,PRD-A,98.0,1159.0,0.08455565142364108,0.03586599477665976,0.056882997094004746,0.07789999941134973,True,True,True,False,True
2024-02-27 16:00:00,PRD-A,163.0,1105.0,0.14751131221719457,0.035358582379082806,0.056882997094004746,0.07840741180892669,True,True,True,False,True
2024-03-05 00:00:00,PRD-A,105.0,1295.0,0.08108108108108109,0.037000194260154516,0.056882997094004746,0.07676579992785498,True,True,True,False,True
2024-03-05 08:00:00,PRD-A,81.0,1302.0,0.06221198156682028,0.03705371468787698,0.056882997094004746,0.07671227950013251,False,True,True,True,True
2024-03-05 16:00:00,PRD-A,96.0,1241.0,0.07735697018533441,0.036572217220098985,0.056882997094004746,0.07719377696791051,True,True,True,True,True
2024-03-06 00:00:00,PRD-A,77.0,1296.0,0.05941358024691358,0.03700786657486574,0.056882997094004746,0.07675812761314375,False,False,False,True,True
2024-03-06 08:00:00,PRD-A,84.0,1228.0,0.06840390879478828,0.036464992053304654,0.056882997094004746,0.07730100213470484,False,False,False,True,True
2024-03-06 16:00:00,PRD-A,105.0,1222.0,0.08592471358428805,0.03641492739692727,0.056882997094004746,0.07735106679108222,True,False,False,True,True
2024-03-13 00:00:00,PRD-A,34.0,1215.0,0.027983539094650206,0.03635605055951831,0.056882997094004746,0.07740994362849118,True,False,False,False,True
2024-03-13 08:00:00,PRD-A,45.0,1299.0,0.03464203233256351,0.037030830338188755,0.056882997094004746,0.07673516384982074,True,True,False,False,True
2024-03-13 16:00:00,PRD-A,73.0,1249.0,0.05844675740592474,0.0366373682456136,0.056882997094004746,0.07712862594239589,False,True,False,False,True
2024-03-14 00:00:00,PRD-A,69.0,1236.0,0.055825242718446605,0.03653117700877434,0.056882997094004746,0.07723481717923515,False,False,False,False,False
2024-03-14 08:00:00,PRD-A,44.0,1238.0,0.035541195476575124,0.03654762292668058,0.056882997094004746,0.07721837126132891,True,False,False,False,True
2024-03-14 16:00:00,PRD-A,81.0,1191.0,0.06801007556675064,0.03615026148947366,0.056882997094004746,0.07761573269853583,False,False,False,False,False
2024-03-21 00:00:00,PRD-A,41.0,1233.0,0.0332522303325223,0.03650643314542893,0.056882997094004746,0.07725956104258055,True,True,False,False,True
2024-03-21 08:00:00,PRD-A,44.0,1285.0,0.034241245136186774,0.03692297920130044,0.056882997094004746,0.07684301498670905,True,True,False,False,True
