month,line_id,planned_production_min,run_time_min,total_units,first_pass_good_units,scrap_units,rework_units,copq,unplanned_downtime_min,availability,performance,quality_rate,oee,fpy,scrap_rate,rework_rate
2024-01-01,LINE-A,128012.0,125961.4234615581,278228,266350,5004,6874,166419.0,2050.5765384419096,0.983981372539747,0.9130544112057679,0.9573083945541067,0.8600731763005796,0.9573083945541067,0.017985249507598083,0.02470635593829521
2024-01-01,LINE-B,128012.0,126195.04574001564,277927,265566,5277,7084,174239.5,1816.9542599843483,0.9858063754961695,0.9113971101286257,0.9555242923501495,0.8585013893658533,0.9555242923501495,0.018987000183501423,0.025488707466349077
2024-01-01,LINE-C,128012.0,126021.13254188964,281613,270302,4759,6552,158297.0,1990.8674581103603,0.9844478060017002,0.9208175194592378,0.9598349508012769,0.8700872987208919,0.9598349508012769,0.016899077812458942,0.023265971386264128
2024-01-01,LINE-D,128012.0,126380.77092067909,279088,266755,5198,7135,172183.5,1631.2290793209133,0.9872572174536691,0.9119760268409195,0.9558096371037093,0.8605679042298673,0.9558096371037093,0.018624949836610675,0.0255654130596801
2024-02-01,LINE-A,119798.0,117998.96897596808,258526,246618,5135,6773,168950.5,1799.0310240319209,0.984982795839397,0.9094070984794351,0.9539388688178365,0.8544910722037105,0.9539388688178365,0.019862605695365264,0.026198525486798234
2024-02-01,LINE-B,119798.0,117628.41156310351,259722,247946,4891,6885,163292.5,2169.588436896486,0.9818896105369331,0.9078914856895963,0.9546592125426417,0.8510302078032198,0.9546592125426417,0.018831673866672827,0.026509113590685425
2024-02-01,LINE-C,119798.0,117658.16940674669,260722,249594,4644,6484,155392.0,2139.8305932533112,0.9821380107075801,0.9124114985636596,0.9573185231779443,0.8578665446213414,0.9573185231779443,0.01781207569748621,0.024869401124569465
2024-02-01,LINE-D,119798.0,117742.49850458541,258085,246148,4988,6949,166085.5,2055.501495414584,0.9828419381340708,0.9059088096598586,0.9537477962686711,0.8491838190087341,0.9537477962686711,0.019326965922079935,0.02692523780924889
2024-03-01,LINE-A,128012.0,125758.41065256021,276922,262271,6104,8547,202795.5,2253.5893474397926,0.9823954836465348,0.9067549921707379,0.947093405363243,0.8436632373522928,0.947093405363243,0.022042307942308666,0.030864286694448257
2024-03-01,LINE-B,128012.0,125882.02125524497,278996,265552,5638,7806,188999.0,2129.978744755032,0.9833611009533869,0.9151235327435625,0.9518129292176232,0.8565334897887703,0.9518129292176232,0.020208175027598963,0.027978895754777845
