shift_id,failure_probability,rank,transformed_feature,reason_code,shap_value,transformed_value
SH-MC-09-2025052508,0.6362190009941443,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07729893717132763,2.0205168417822343
SH-MC-09-2025052508,0.6362190009941443,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06189465377641734,-1.9990594491018758
SH-MC-09-2025052508,0.6362190009941443,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05514403128904864,2.224387073547626
SH-MC-09-2025052508,0.6362190009941443,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.0534837978858717,2.4272528220562837
SH-MC-07-2025062400,0.6229122777470619,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.08114338827071282,2.294175867857254
SH-MC-07-2025062400,0.6229122777470619,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06312974671410926,-2.310290645961571
SH-MC-07-2025062400,0.6229122777470619,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.058492347588608204,2.170173977835986
SH-MC-07-2025062400,0.6229122777470619,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.057102135469041394,2.1539703702287074
SH-MC-11-2025030700,0.6151570688850231,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07870175238585618,2.329499311696579
SH-MC-11-2025030700,0.6151570688850231,2,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.061434350818830336,2.1615297909378293
SH-MC-11-2025030700,0.6151570688850231,3,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06012382293663609,-2.196853076894635
SH-MC-11-2025030700,0.6151570688850231,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.04969291622567087,1.7558107897232313
SH-MC-10-2025050708,0.6017828455125424,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07158589369187093,2.5074825773295237
SH-MC-10-2025050708,0.6017828455125424,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06037897088573493,-2.314511824708455
SH-MC-10-2025050708,0.6017828455125424,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05672789233411705,2.2933722215122505
SH-MC-10-2025050708,0.6017828455125424,4,numeric__temperature_c,THERMAL_STRESS,0.0532440637384719,1.926149610146474
SH-MC-09-2025052516,0.6013892416909609,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07724699753366812,2.154816043409295
SH-MC-09-2025052516,0.6013892416909609,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06097146698369367,-2.220375639006599
SH-MC-09-2025052516,0.6013892416909609,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05901352951660517,2.3455221644094877
SH-MC-09-2025052516,0.6013892416909609,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.04880789918968523,2.5595566302664134
SH-MC-08-2025062208,0.598830964904603,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.08306430906621931,2.167592195126447
SH-MC-08-2025062208,0.598830964904603,2,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.059341986703178064,2.0116470564153515
SH-MC-08-2025062208,0.598830964904603,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05885879520577397,2.1361640419560133
SH-MC-08-2025062208,0.598830964904603,4,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.054129216291929586,-1.6686505662061861
SH-MC-11-2025061308,0.5985778558225778,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.0831259951890961,2.186191133729355
SH-MC-11-2025061308,0.5985778558225778,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.0557525019258005,-1.9324602210767476
SH-MC-11-2025061308,0.5985778558225778,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.054790584391874564,2.0163562903972436
SH-MC-11-2025061308,0.5985778558225778,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.05008026136588099,2.6751629657128433
SH-MC-02-2025032000,0.5970673464872657,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.0766090022312006,1.9038896602197553
SH-MC-02-2025032000,0.5970673464872657,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05482183755143336,-1.881492712374999
SH-MC-02-2025032000,0.5970673464872657,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.051391059224184965,1.7604547802613089
SH-MC-02-2025032000,0.5970673464872657,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.04815625259305771,1.8446123701858608
SH-MC-07-2025041008,0.5879784249784833,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07500710424322275,2.22076322781526
SH-MC-07-2025041008,0.5879784249784833,2,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.05360605787833117,2.267645736480221
SH-MC-07-2025041008,0.5879784249784833,3,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05327504635563418,-1.995232373730916
SH-MC-07-2025041008,0.5879784249784833,4,numeric__vibration_rms,HIGH_VIBRATION_PATTERN,0.03850633906382955,1.6031298620153576
SH-MC-01-2025051116,0.5876723224487854,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.08213026293113491,2.3460156696831542
SH-MC-01-2025051116,0.5876723224487854,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06541999657640753,-2.399335523739102
SH-MC-01-2025051116,0.5876723224487854,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05499763802227482,2.0058507416935814
SH-MC-01-2025051116,0.5876723224487854,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.052038655622310734,2.8006765104259426
SH-MC-03-2025032008,0.5860995040056293,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07022246234396849,2.23996244413094
SH-MC-03-2025032008,0.5860995040056293,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06011515189274496,-2.390661756858097
SH-MC-03-2025032008,0.5860995040056293,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.05252275486122932,2.4135728642644456
SH-MC-03-2025032008,0.5860995040056293,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.049362104061173834,2.382946832642246
SH-MC-12-2025040516,0.5847767816533808,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07678367204936695,2.297114202148067
SH-MC-12-2025040516,0.5847767816533808,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.061007520919181275,-2.5157201073270397
SH-MC-12-2025040516,0.5847767816533808,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.05641849063081788,2.015694128185009
SH-MC-12-2025040516,0.5847767816533808,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.04755984711260788,1.7776075335261785
SH-MC-07-2025053008,0.5827990405673288,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.06697214095996776,1.8896100595933971
SH-MC-07-2025053008,0.5827990405673288,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.053176619469696935,-1.7286070056249148
SH-MC-07-2025053008,0.5827990405673288,3,numeric__temperature_c,THERMAL_STRESS,0.04441284025881773,1.7135134401702805
SH-MC-07-2025053008,0.5827990405673288,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.04273973681413935,1.4989855838151172
SH-MC-02-2025042200,0.5821532395312229,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07788361312302944,2.411465308496555
SH-MC-02-2025042200,0.5821532395312229,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05695641559120424,-2.0035610542780233
SH-MC-02-2025042200,0.5821532395312229,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.0561550484892308,2.2365909946989997
SH-MC-02-2025042200,0.5821532395312229,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.05113388758037387,2.55086073827361
SH-MC-01-2025031100,0.5796361985179398,1,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06421034236141482,-2.4287195690064247
SH-MC-01-2025031100,0.5796361985179398,2,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.057111456568565304,2.7640559722630744
SH-MC-01-2025031100,0.5796361985179398,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05498063632572849,2.2402354668450704
SH-MC-01-2025031100,0.5796361985179398,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.050429125348237194,2.527548389961149
SH-MC-12-2025040608,0.5792564924563733,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07135501264660661,2.433987804191129
SH-MC-12-2025040608,0.5792564924563733,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05975393363765165,-2.5450659739532306
SH-MC-12-2025040608,0.5792564924563733,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.0563787140778091,2.5429293452732167
SH-MC-12-2025040608,0.5792564924563733,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.052198921539236304,2.2803017446052682
SH-MC-10-2025041000,0.5790780637846972,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07370009715992584,2.005593482253379
SH-MC-10-2025041000,0.5790780637846972,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05501147668354057,-1.665671083409177
SH-MC-10-2025041000,0.5790780637846972,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.047952925833398295,2.1432389406196304
SH-MC-10-2025041000,0.5790780637846972,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.04787612234350957,2.2713433677944224
SH-MC-08-2025041216,0.5769237637440229,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.0795315934353552,2.326530884249338
SH-MC-08-2025041216,0.5769237637440229,2,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05705787697274731,2.380958611726693
SH-MC-08-2025041216,0.5769237637440229,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.052465455322444496,1.7650577775011018
SH-MC-08-2025041216,0.5769237637440229,4,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.051883495454036935,-2.095461225984277
SH-MC-09-2025032008,0.5758412866755979,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07560640719658564,2.266479087583997
SH-MC-09-2025032008,0.5758412866755979,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05949018598311268,-2.573677027854089
SH-MC-09-2025032008,0.5758412866755979,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.05406395220532067,2.1594540681023515
SH-MC-09-2025032008,0.5758412866755979,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05184209644086299,2.621551042827755
SH-MC-03-2025062516,0.5757683248004417,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07161466196204562,2.163310721391557
SH-MC-03-2025062516,0.5757683248004417,2,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.060043811121226504,2.0237668041377614
SH-MC-03-2025062516,0.5757683248004417,3,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.050861904326615456,-2.0627040099068057
SH-MC-03-2025062516,0.5757683248004417,4,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.050539061134055055,1.9375652563430243
SH-MC-01-2025051100,0.5755706550146136,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.08056367834000625,2.2498139351171234
SH-MC-01-2025051100,0.5755706550146136,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.06198446235025435,-2.2772205154863667
SH-MC-01-2025051100,0.5755706550146136,3,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.052174167977941874,2.54093721595281
SH-MC-01-2025051100,0.5755706550146136,4,numeric__temperature_c,THERMAL_STRESS,0.044355987990768925,2.0182686174952336
SH-MC-06-2025061300,0.5755324264457106,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07450900031060503,2.463723573713597
SH-MC-06-2025061300,0.5755324264457106,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05592940109088467,-2.832810272627337
SH-MC-06-2025061300,0.5755324264457106,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.05188207069858611,1.7626197607545586
SH-MC-06-2025061300,0.5755324264457106,4,numeric__hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.04654160070788538,1.8869472754602654
SH-MC-07-2025053016,0.5741714383188321,1,numeric__tool_wear_pct,TOOL_WEAR_ELEVATED,0.07070891970276283,2.183545367656317
SH-MC-07-2025053016,0.5741714383188321,2,numeric__lubrication_index,LOW_LUBRICATION_INDEX,0.05291492969234493,-1.7450011376815742
SH-MC-07-2025053016,0.5741714383188321,3,numeric__vibration_rolling_3,SUSTAINED_VIBRATION,0.050630833504202784,1.9743433166301076
