machine_id,line_id,criticality,operating_hours,failure_count,total_repair_hours,mtbf_hours,mttr_hours,intrinsic_reliability
MC-01,LINE-A,3,12341.577819257276,77,133.42056085041207,160.28023141892567,1.732734556498858,0.9893049636733291
MC-02,LINE-A,4,12351.95192949934,79,145.0424165902618,156.35382189239672,1.8359799568387571,0.9883938159389783
MC-03,LINE-A,5,12339.983897564234,92,161.53240173604243,134.13025975613297,1.7557869753917656,0.9870789752323816
MC-04,LINE-B,4,12339.386823314113,80,131.4220552632659,154.2423352914264,1.6427756907908235,0.9894616254211847
MC-05,LINE-B,5,12345.640312350379,89,155.56627725738915,138.7150596893301,1.7479356995212263,0.9875558990132431
MC-06,LINE-B,3,12351.686969895063,86,143.71155708429836,143.62426709180306,1.6710646172592833,0.9884988416516685
MC-07,LINE-C,5,12324.588736154981,89,151.2341666976776,138.47852512533686,1.6992602999739057,0.9878778203349539
MC-08,LINE-C,3,12356.380489563877,82,146.06376671882984,150.68756694590093,1.7812654477906078,0.988317183126377
MC-09,LINE-C,4,12361.584610275004,88,143.01201667197472,140.47255238948867,1.6251365530906219,0.9885632443061947
MC-10,LINE-D,3,12345.261198964978,79,139.51367910305441,156.2691291008225,1.765995938013347,0.9888252947717835
MC-11,LINE-D,4,12337.712752252539,86,156.99341436530366,143.461776188983,1.8255048182012055,0.987435205576523
MC-12,LINE-D,5,12351.338704098242,88,151.80512456348424,140.35612163748002,1.7250582336759572,0.987858643662445
