shift_id,timestamp,line_id,machine_id,product_id,criticality,failure_cost,maintenance_cost,failure_within_24h,next_failure_hours,failure_probability,alert,model_name,priority,recommended_action,model_threshold,estimated_failure_cost,estimated_maintenance_cost,expected_failure_cost,expected_avoided_loss,expected_net_benefit,risk_cost_ratio,reason_codes,human_approval_required,execution_mode
SH-MC-12-2025062916,2025-06-29 16:00:00,LINE-D,MC-12,PRD-D,5,40100.0,4060.0,0,,0.3412982955006608,1,random_forest,P1,Inspect within 8 hours; maintenance planner approval required,0.1477606755877041,40100.0,4060.0,17107.577061970624,11119.925090280905,7059.925090280905,2.7388978054879076,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-05-2025062916,2025-06-29 16:00:00,LINE-B,MC-05,PRD-A,5,37700.0,3880.0,1,24.0,0.2789684094684845,1,random_forest,P1,Inspect within 8 hours; maintenance planner approval required,0.1477606755877041,37700.0,3880.0,13146.38629620233,8545.151092531514,4665.151092531514,2.2023585290029675,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-02-2025062916,2025-06-29 16:00:00,LINE-A,MC-02,PRD-B,4,31000.0,3460.0,0,,0.33643287118258147,1,random_forest,P1,Inspect within 8 hours; maintenance planner approval required,0.1477606755877041,31000.0,3460.0,11993.831857659028,7795.990707478369,4335.990707478369,2.2531765050515515,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-04-2025062916,2025-06-29 16:00:00,LINE-B,MC-04,PRD-D,4,32200.0,3280.0,0,,0.21578260886584286,1,random_forest,P1,Inspect within 8 hours; maintenance planner approval required,0.1477606755877041,32200.0,3280.0,7990.43000630216,5193.779504096404,1913.7795040964038,1.5834693610050012,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-03-2025062916,2025-06-29 16:00:00,LINE-A,MC-03,PRD-C,5,36500.0,4060.0,0,,0.18904494328861346,1,random_forest,P1,Inspect within 8 hours; maintenance planner approval required,0.1477606755877041,36500.0,4060.0,8625.17553754299,5606.364099402943,1546.3640994029429,1.3808778569957987,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-10-2025062916,2025-06-29 16:00:00,LINE-D,MC-10,PRD-B,3,29100.0,2860.0,0,,0.08290453895120602,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,29100.0,2860.0,2533.1481876541,1646.5463219751653,-1213.4536780248347,0.5757154971941137,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-01-2025062916,2025-06-29 16:00:00,LINE-A,MC-01,PRD-A,3,25500.0,2860.0,0,,0.09079739986160722,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,25500.0,2860.0,2431.1003812945337,1580.2152478414469,-1279.7847521585531,0.5525228139305758,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-06-2025062916,2025-06-29 16:00:00,LINE-B,MC-06,PRD-B,3,26700.0,3220.0,0,,0.07679629013744088,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,26700.0,3220.0,2152.983994003155,1399.439596102051,-1820.560403897949,0.43460857021802823,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-07-2025062916,2025-06-29 16:00:00,LINE-C,MC-07,PRD-C,5,38900.0,3700.0,0,,0.05425437206193842,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,38900.0,3700.0,2638.1188415117554,1714.7772469826411,-1985.2227530173589,0.4634533099953084,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-09-2025062916,2025-06-29 16:00:00,LINE-C,MC-09,PRD-A,4,33400.0,3640.0,1,16.0,0.06340204111107393,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,33400.0,3640.0,2435.2723990763493,1582.927059399627,-2057.072940600373,0.4348700712636338,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-08-2025062916,2025-06-29 16:00:00,LINE-C,MC-08,PRD-D,3,27900.0,3040.0,0,,0.04130995061154855,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,27900.0,3040.0,1210.175003165315,786.6137520574548,-2253.386247942545,0.25875452370311014,['MODEL_RISK_SCORE'],True,recommendation_only
SH-MC-11-2025062916,2025-06-29 16:00:00,LINE-D,MC-11,PRD-C,4,34600.0,3460.0,0,,0.04162540371873109,0,random_forest,MONITOR,Continue standard monitoring,0.1477606755877041,34600.0,3460.0,1656.27481396831,1076.5786290794015,-2383.4213709205987,0.31114989279751487,['MODEL_RISK_SCORE'],True,recommendation_only
